code|description|ncm|cest|icms_aliquota|icms_cst|cbenef|icms_aliquota_reduzida|cfop|protege|piscofins_cst|pis_aliquota|cofins_aliquota|barcode|naturezareceita|sequencial|estado_origem|estado_destino
300147|ABS.MILI COBERTURA SUAVE  C AB  8UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896104993941|0|0||
300148|ABS.SEMPRE LIVRE NOT SECO C AB UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7891010694593|0|0||
784409|ABSORV MILI P.TOTAL SECA C/ABAS C/08 UN|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896104993842|0|0||
783601|ABSORVENTE SYM NORMAL SUAVE C/ABAS ROXO|96190000|0000000|12|20|GO821019|7.0|5102|0|01|1.65|7.6|7896110002514|0|0||
300149|AC.ESCOVA P  CAB. FLEXIVEL|96039000|0000000|19|20|GO821019|7.0|5102|0|01|1.65|7.6|7893657005206|0|0||
300150|AC.TOUCA P BANHO CETIM I|65069100|0000000|17|0||17.0|5102|0|01|1.65|7.6|7893657006579|0|0||
300151|ACAFRAO DA TERRA KODILAR  50G|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6|7896256080230|0|0||
300152|ACAFRAO ITALEO|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6||0|0||
300153|ACAFRAO ITALEO 500GR|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6|7898413760399|0|0||
300154|ACAFRAO ITALEO KG|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6|7898413760467|0|0||
783405|ACAFRAO MAIS SABOR 500GR|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6||0|0||
300156|ACAFRAO OLHA TEMPEROS  20G|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6|7897305200470|0|0||
783120|ACAFRAO OLHA TEMPEROS  350G|09102000||0|40|GO811010|0.0|5102|0|01|1.65|7.6|7897305201217|0|0||
300157|ACAFRAO OLHA TEMPEROS  50G|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6|7897305200395|0|0||
300155|ACAFRAO TOTAL  80G|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6|7890102160114|0|0||
300158|ACAFRAO TOTAL 40G|09102000|0000000|0|40|GO811010|0.0|5102|0|01|1.65|7.6|7980102160464|0|0||
783152|ACAI FROOTY 200 ML|21069010|1708901|17|0||17.0|5102|0|06|0.0|0.0|7896594971283|0|0||
300159|ACAI POTE COM LEITINHO  220ML|21069010|1708901|17|0||17.0|5102|0|06|0.0|0.0|7898091301303|0|0||
300160|ACAI PURISSIMO KG|21069010||17|0||17.0|5102|0|06|0.0|0.0||0|0||
783312|ACAI SPLIT BANANA1,5  LTS|21069010|1708901|17|0||17.0|5102|0|06|0.0|0.0|7896594972662|0|0||
784035|ACAI SPLIT MIX TRUFADO|21069010|1708901|17|0||17.0|5102|0|06|0.0|0.0|7896594973119|0|0||
300161|ACELGA UN|07049000||0|40|GO811010|0.0|5102|0|06|0.0|0.0||0|0||
300162|ACEM BOVINO KG|02013000||12|0||12.0|5102|0|06|0.0|0.0|863|0|0||
300163|ACEM C  OSSO   KG|02013000||12|0||12.0|5102|0|06|0.0|0.0|873|0|0||
300164|ACENDEDOR CARVAO E LENHA BRASINHA   UN|96131000||17|0||17.0|5102|0|01|1.65|7.6|7896165740119|0|0||
300165|ACENDEDOR P  FOGAO ASA P  COZINHA  UN|96131000||17|0||17.0|5102|0|01|1.65|7.6|7893657004162|0|0||
300166|ACENDEDOR P  FOGAO LUME P  COZINHA BL NAC UN|96131000||17|0||17.0|5102|0|01|1.65|7.6|7898409910517|0|0||
783407|ACEROLA POLPA 01KG SEMPRE VIVA|23032000||17|0||17.0|5102|0|01|1.65|7.6||0|0||
300167|ACETONA  COM OLEO DE BANANA LIMPS 95ML.|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6|7897330500118|0|0||
7897330500316|ACETONA  CRUZEIRO 95ML.|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6||0|0||
300168|ACETONA  CRUZEIRO UNHAS ALONGADAS 95ML.|29141100|0000000|17|0||17.0|5102|0|01|1.65|7.6|7898230190256|0|0||
784179|ACETONA 500ML FARMAX REMESM UN|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6||0|0||
784126|ACETONA 80ML FARMAX POPY REMESM|29141100|0000000|17|0||17.0|5102|0|01|1.65|7.6||0|0||
300169|ACETONA CRUZEIRO 12X95ML|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6||0|0||
784488|ACETONA CRUZEIRO 95ML|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6|7898422860035|0|0||
300170|ACETONA CRUZEIRO 95ML.|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6|7897330500095|0|0||
300171|ACETONA FARMAX 100ML.|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6|7896902209114|0|0||
300172|ACETONA IDEAL 100ML|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6|7896679226833|0|0||
300173|ACETONA ONLY BEAUTY 100ML|29141100|0000000|19|0||19.0|5102|0|01|1.65|7.6|7897534833111|0|0||
300174|ACHOC  TODDYNHO LEVINHO 200 ML|22042100|0000000|27|0||27.0|5102|0|01|1.65|7.6|7894321242521|0|0||
784895|ACHOC MARATA 200GR SACHET UN|18069000||17|0||17.0|5102|0|01|1.65|7.6|7898286200787|0|0||
784003|ACHOC MARATA 400GR SACHET UN|18069000||17|0||17.0|5102|0|01|1.65|7.6||0|0||
