code|await_sync_at|barcode_df|barcode_items_df|cbenef_df|cbenef_items_df|cest_df|cest_items_df|cfop_df|cfop_items_df|cofins_aliquota_df|cofins_aliquota_items_df|description_df|description_items_df|divergent_columns_df|estado_destino_df|estado_destino_items_df|estado_origem_df|estado_origem_items_df|icms_aliquota_df|icms_aliquota_items_df|icms_aliquota_reduzida_df|icms_aliquota_reduzida_items_df|icms_cst_df|icms_cst_items_df|naturezareceita_df|naturezareceita_id|naturezareceita_items_df|ncm_df|ncm_items_df|pis_aliquota_df|pis_aliquota_items_df|piscofins_cst_df|piscofins_cst_items_df|protege_df|protege_items_df|sequencial_df|sequencial_items_df|status_item|sync_at|sync_validate_at
500373|2024-10-28 18:04:58.498525+00:00|7897664171756|7897664171756||GO821019|2003400|2003400|5102|5102|0.0|0.0|SABONETE ALBANY HOMEN VERDE 85GR|SABONETE ALBANY HOMEN VERDE 85GR|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|25.0|128|34011190|34011190|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500374|2024-10-28 18:04:58.498525+00:00|7891132082322|7891132082322|||||5102|5102|0.0|7.6|REFRESCO MID LARANJA 20G|REFRESCO MID LARANJA 20G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069010|21069010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500375|2024-10-28 18:04:58.498525+00:00|7500435154420|7500435154420|||2006400|2006400|5405|5405|0.0|7.6|APAR BARB PREST ULTRAGRIP P SENSIVEL 2UN|APAR BARB PREST ULTRAGRIP P SENSIVEL 2UN|pis_aliquota, cofins_aliquota|||||0|0|0|0|60|60|0||0|82121020|82121020|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500376|2024-10-28 18:04:58.498525+00:00|7891079001011|7891079001011||GO821019|1704701|1704701|5102|5102|0.0|0.0|MAC NISSIN SUAVE T MONICAGALINHA 85G|MAC NISSIN SUAVE T MONICAGALINHA 85G|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|16.0|119|19023000|19023000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500378|2024-10-28 18:04:58.498525+00:00|7896098901854|7896098901854|||1100800|1100800|5102|5102|0.0|7.6|AMAC YPE ACONCHEGO FR 2L 20 % DESC|AMAC YPE ACONCHEGO FR 2L 20 % DESC|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|38099190|38099190|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500380|2024-10-28 18:04:58.498525+00:00|7897664171718|7897664171718||GO821019|2003400|2003400|5102|5102|0.0|0.0|SABONETE ALBANY FEMINO BRANCO 85GR|SABONETE ALBANY FEMINO BRANCO 85GR|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|25.0|128|34011190|34011190|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500382|2024-10-28 18:04:58.498525+00:00|7896212920037|7896212920037||GO821019|1704904|1704904|5102|5102|0.0|0.0|MAC SEMOLA CRISTAL LINGUINE 500G|MAC SEMOLA CRISTAL LINGUINE 500G|icms_aliquota, cbenef, naturezareceita|||||7|12|7|7|20|20|0|16.0|119|19021900|19021900|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500384|2024-10-28 18:04:58.498525+00:00|7892840815912|7892840815912|||1703101|1703101|5102|5102|0.0|7.6|SALG DORITOS 84GR QUEIJO NACHO|SALG DORITOS 84GR QUEIJO NACHO|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19059090|19059090|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500385|2024-10-28 18:04:58.498525+00:00|7622300861261|7622300861261|||||5102|5102|0.0|7.6|REFRESCO TANG MARACUJA 25G|REFRESCO TANG MARACUJA 25G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069010|21069010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500386|2024-10-28 18:04:58.498525+00:00|7896004814162|7896004814162|||2005100|2005100|5102|5102|0.0|7.6|HASTE FLEXIVEL TOPZ 75UN|HASTE FLEXIVEL TOPZ 75UN|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|56012190|56012190|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500389|2024-10-28 18:04:58.498525+00:00|7896102501872|7896102501872|||1704100|1704100|5102|5102|0.0|7.6|MOLHO QUERO TOMATE TRADICIOANAL SC 300G|MOLHO QUERO TOMATE TRADICIOANAL SC 300G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21032010|21032010|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500390|2024-10-28 18:04:58.498525+00:00|7895800309780|7895800309780|||||5102|5102|0.0|7.6|CHICLE TRIDENT NE MELANCIA 8.5G|CHICLE TRIDENT NE MELANCIA 8.5G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069050|21069050|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500391|2024-10-28 18:04:58.498525+00:00|7892840813451|7892840813451|||0301000|0301000|5405|5405|0.0|0.0|PEPSI ZERO PET 2L|PEPSI ZERO PET 2L|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500392|2024-10-28 18:04:58.498525+00:00|7892840812874|7892840812874|||0301001|0301001|5405|5405|0.0|0.0|H20H LIMONETO PET 1.5L|H20H LIMONETO PET 1.5L|naturezareceita|||||0|0|0|0|60|60|0|30.0|918|22021000|22021000|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500395|2024-10-28 18:04:58.498525+00:00|7898080640635|7898080640635|||1701600|1701600|5102|5102|0.0|0.0|LEITE UHT DESNATADO C/TAMPA 1L ITALAC|LEITE UHT DESNATADO C/TAMPA 1L ITALAC|naturezareceita|||||12|12|12|12|0|0|0|6.0|110|04011010|04011010|0.0|0.0|06|06|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500396|2024-10-28 18:04:58.498525+00:00|7622210564313|7622210564313|||||5102|5102|0.0|7.6|CHICLE TRIDENT HERBAL FRESH 8G|CHICLE TRIDENT HERBAL FRESH 8G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|21069050|21069050|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
500397|2024-10-28 18:04:58.498525+00:00|7891962036083|7891962036083|||1705300|1705300|5102|5102|0.0|7.6|BISCOITO RECHEADO CHOCOLATE VISCONTI 125G|BISCOITO RECHEADO CHOCOLATE VISCONTI 125G|pis_aliquota, cofins_aliquota|||||19|19|19|19|0|0|0||0|19053100|19053100|0.0|1.65|01|01|0|0|0|0|2|2024-10-28 19:20:05.131248+00:00|
