code|barcode_df|description_df|ncm_df|cest_df|cfop_df|icms_cst_df|icms_aliquota_df|icms_aliquota_reduzida_df|protege_df|cbenef_df|piscofins_cst_df|pis_aliquota_df|cofins_aliquota_df|naturezareceita_df|sequencial_df|estado_origem_df|estado_destino_df|sequencial_items_df|barcode_items_df|description_items_df|ncm_items_df|cest_items_df|cfop_items_df|icms_cst_items_df|icms_aliquota_items_df|icms_aliquota_reduzida_items_df|protege_items_df|cbenef_items_df|piscofins_cst_items_df|pis_aliquota_items_df|cofins_aliquota_items_df|naturezareceita_id|status_item|estado_origem_items_df|estado_destino_items_df|sync_at|await_sync_at|sync_validate_at|naturezareceita_items_df|divergent_columns_df
500349|7897195981343|GARRAFA DE SUCO 900ML NECTAR UVA|22029900|1711200|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7897195981343|GARRAFA DE SUCO 900ML NECTAR UVA|22029900|1711200|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500351|78910041|PASTILHA GAROTO HORTELA 17G|17049020||5102|0|19|19|0||01|0.0|0.0|0|0|||0|78910041|PASTILHA GAROTO HORTELA 17G|17049020||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500353|7898909066851|EXTRATO TOMATE GOIALLI  340GR LATA|20029000|1704000|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7898909066851|EXTRATO TOMATE GOIALLI  340GR LATA|20029000|1704000|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500355|7896058256406|BISC TRIUNFO SALPET 100G|19053100|1705300|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7896058256406|BISC TRIUNFO SALPET 100G|19053100|1705300|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500357|7891991011877|BUDWEISER LT 269ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7891991011877|BUDWEISER LT 269ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500358|7897664171732|SABONETE  ALBANY HOMEN AZUL 85GR|34011190|2003400|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7897664171732|SABONETE  ALBANY HOMEN AZUL 85GR|34011190|2003400|5102|20|12|7|0|GO821019|06|0.0|0.0|25.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||128|icms_aliquota, cbenef, naturezareceita
500360|7896045505319|AMSTEL LAGER LT 269 ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7896045505319|AMSTEL LAGER LT 269 ML|22030000|0302103|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500361|7898215157403|LEITE INTEGRAL NINHO VIT 1L EDGE|04012010|1701600|5102|0|12|12|0||06|0.0|0.0|0|0|||0|7898215157403|LEITE INTEGRAL NINHO VIT 1L EDGE|04012010|1701600|5102|0|12|12|0||06|0.0|0.0|6.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||110|naturezareceita
500362|7891021001946|FILTRO PAPEL MELITA P/CAFE 103 40UN|48232099|1401100|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7891021001946|FILTRO PAPEL MELITA P/CAFE 103 40UN|48232099|1401100|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500363|7896540100019|CAFE MOIDO UDI 250G|09012100|1709601|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7896540100019|CAFE MOIDO UDI 250G|09012100|1709601|5102|20|12|7|0|GO821019|06|0.0|0.0|20.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||123|icms_aliquota, cbenef, naturezareceita
500364|7896098902042|DETERGENTE YPE CAPIM LIMAO 500ML|34025000|1100500|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7896098902042|DETERGENTE YPE CAPIM LIMAO 500ML|34025000|1100500|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500366|7897195931799|GARRAFA DE 300ML SUCO DE LARANJA|20091200|1701000|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7897195931799|GARRAFA DE 300ML SUCO DE LARANJA|20091200|1701000|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500367|7891000027967|CHAMYTO TRAD 120G|04039000|1702100|5102|0|19|19|0||06|0.0|0.0|0|0|||0|7891000027967|CHAMYTO TRAD 120G|04039000|1702100|5102|0|19|19|0||06|0.0|0.0|6.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||110|naturezareceita
500369|7897195981299|GALAO 1,7 LITROS - NECTAR DE LARANJA|20091200|1701000|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7897195981299|GALAO 1,7 LITROS - NECTAR DE LARANJA|20091200|1701000|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500370|7894900012040|COCA COLA PET 355ML|22021000|0301002|5405|60|0|0|0||06|0.0|0.0|0|0|||0|7894900012040|COCA COLA PET 355ML|22021000|0301002|5405|60|0|0|0||06|0.0|0.0|30.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||918|naturezareceita
500372|7896286618373|BISC CORY 110GR RECH HIPOPO CHOCOLATE|19053100|1705300|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7896286618373|BISC CORY 110GR RECH HIPOPO CHOCOLATE|19053100|1705300|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500373|7897664171756|SABONETE ALBANY HOMEN VERDE 85GR|34011190|2003400|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7897664171756|SABONETE ALBANY HOMEN VERDE 85GR|34011190|2003400|5102|20|12|7|0|GO821019|06|0.0|0.0|25.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||128|icms_aliquota, cbenef, naturezareceita
500374|7891132082322|REFRESCO MID LARANJA 20G|21069010||5102|0|19|19|0||01|0.0|0.0|0|0|||0|7891132082322|REFRESCO MID LARANJA 20G|21069010||5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500375|7500435154420|APAR BARB PREST ULTRAGRIP P SENSIVEL 2UN|82121020|2006400|5405|60|0|0|0||01|0.0|0.0|0|0|||0|7500435154420|APAR BARB PREST ULTRAGRIP P SENSIVEL 2UN|82121020|2006400|5405|60|0|0|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500376|7891079001011|MAC NISSIN SUAVE T MONICAGALINHA 85G|19023000|1704701|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7891079001011|MAC NISSIN SUAVE T MONICAGALINHA 85G|19023000|1704701|5102|20|12|7|0|GO821019|06|0.0|0.0|16.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||119|icms_aliquota, cbenef, naturezareceita
500378|7896098901854|AMAC YPE ACONCHEGO FR 2L 20 % DESC|38099190|1100800|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7896098901854|AMAC YPE ACONCHEGO FR 2L 20 % DESC|38099190|1100800|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
500380|7897664171718|SABONETE ALBANY FEMINO BRANCO 85GR|34011190|2003400|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7897664171718|SABONETE ALBANY FEMINO BRANCO 85GR|34011190|2003400|5102|20|12|7|0|GO821019|06|0.0|0.0|25.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||128|icms_aliquota, cbenef, naturezareceita
500382|7896212920037|MAC SEMOLA CRISTAL LINGUINE 500G|19021900|1704904|5102|20|7|7|0||06|0.0|0.0|0|0|||0|7896212920037|MAC SEMOLA CRISTAL LINGUINE 500G|19021900|1704904|5102|20|12|7|0|GO821019|06|0.0|0.0|16.0|2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||119|icms_aliquota, cbenef, naturezareceita
500384|7892840815912|SALG DORITOS 84GR QUEIJO NACHO|19059090|1703101|5102|0|19|19|0||01|0.0|0.0|0|0|||0|7892840815912|SALG DORITOS 84GR QUEIJO NACHO|19059090|1703101|5102|0|19|19|0||01|1.65|7.6||2|||2024-10-28 19:20:05.131248+00:00|2024-10-28 18:04:58.498525+00:00||0|pis_aliquota, cofins_aliquota
