code|await_sync_at|barcode|cbenef|cest|cfop|cofins_aliquota|description|divergent_columns|estado_destino|estado_origem|icms_aliquota|icms_aliquota_reduzida|icms_cst|naturezareceita|naturezareceita_id|ncm|pis_aliquota|piscofins_cst|protege|sequencial|status_item|sync_at|sync_validate_at
500375|2024-10-28 18:04:58.498525+00:00|7500435154420||2006400|5405|0.0|APAR BARB PREST ULTRAGRIP P SENSIVEL 2UN|pis_aliquota, cofins_aliquota|||0|0|60|0||82121020|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500376|2024-10-28 18:04:58.498525+00:00|7891079001011||1704701|5102|0.0|MAC NISSIN SUAVE T MONICAGALINHA 85G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|16.0|19023000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500378|2024-10-28 18:04:58.498525+00:00|7896098901854||1100800|5102|0.0|AMAC YPE ACONCHEGO FR 2L 20 % DESC|pis_aliquota, cofins_aliquota|||19|19|0|0||38099190|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500380|2024-10-28 18:04:58.498525+00:00|7897664171718||2003400|5102|0.0|SABONETE ALBANY FEMINO BRANCO 85GR|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|25.0|34011190|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500382|2024-10-28 18:04:58.498525+00:00|7896212920037||1704904|5102|0.0|MAC SEMOLA CRISTAL LINGUINE 500G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|16.0|19021900|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500384|2024-10-28 18:04:58.498525+00:00|7892840815912||1703101|5102|0.0|SALG DORITOS 84GR QUEIJO NACHO|pis_aliquota, cofins_aliquota|||19|19|0|0||19059090|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500385|2024-10-28 18:04:58.498525+00:00|7622300861261|||5102|0.0|REFRESCO TANG MARACUJA 25G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500386|2024-10-28 18:04:58.498525+00:00|7896004814162||2005100|5102|0.0|HASTE FLEXIVEL TOPZ 75UN|pis_aliquota, cofins_aliquota|||19|19|0|0||56012190|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500389|2024-10-28 18:04:58.498525+00:00|7896102501872||1704100|5102|0.0|MOLHO QUERO TOMATE TRADICIOANAL SC 300G|pis_aliquota, cofins_aliquota|||19|19|0|0||21032010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500390|2024-10-28 18:04:58.498525+00:00|7895800309780|||5102|0.0|CHICLE TRIDENT NE MELANCIA 8.5G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069050|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
